visittype,form_id,form_name,form_desc,form_type,show_intake,cat_id,cat_name,cat_description,cat_level,parent_id,cat_ord,cat_sibling_ord,cat_loinc_code,num_signatures,pgbreak,cat_snomed_cid,cat_ancestor_id,question_id,q_ord,q_format,question_text,can_be_hidden,is_hidden,is_required,is_formrequired,loinc_code,q_external_id,q_snomed_cid,is_goldenthread,include_in_summary,is_print_label,client_field,control_alignment,is_line_break,label_x,control_x,after_spacing,after_line,is_label_bold,label_large,question_validation,start_range,end_range,max_len,field_len,default_answer,multi_line,line_spacing,calc,calc_formula,is_lookup,lookup_table,lookup_where,lookup_id,lookup_desc,lookup_sql,q_is_notificationtrigger,hl7_mapping,q_units,q_ancestor_id,answer_id,a_ord,answer,answer_text_long,a_external_id,a_loinc_code,a_snomed_cid,is_notes,is_default,a_is_notificationtrigger,can_add_visit_types,add_visit_types,show_question_ids,weight,a_units,hl7_code,a_ancestor_id,form_ver_id
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614344,8,NPB,2. Not being able to stop or control worrying,True,True,0,False,GAD-Q2,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614344,1136685,2,1 - Several Days,,,,,False,False,False,,,,,,,1136685,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614344,8,NPB,2. Not being able to stop or control worrying,True,True,0,False,GAD-Q2,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614344,1136686,3,2 - More than half the days,,,,,False,False,False,,,,,,,1136686,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614344,8,NPB,2. Not being able to stop or control worrying,True,True,0,False,GAD-Q2,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614344,1136683,4,3 - Nearly every day,,,,,False,False,False,,,,,,,1136683,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614345,9,NPB,3. Worrying too much about different things,True,True,0,False,GAD-Q3,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614345,1136688,1,0 - Not at all,,,,,False,False,False,,,,,,,1136688,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614345,9,NPB,3. Worrying too much about different things,True,True,0,False,GAD-Q3,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614345,1136689,2,1 - Several Days,,,,,False,False,False,,,,,,,1136689,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614345,9,NPB,3. Worrying too much about different things,True,True,0,False,GAD-Q3,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614345,1136690,3,2 - More than half the days,,,,,False,False,False,,,,,,,1136690,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614345,9,NPB,3. Worrying too much about different things,True,True,0,False,GAD-Q3,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614345,1136687,4,3 - Nearly every day,,,,,False,False,False,,,,,,,1136687,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614346,10,NPB,4. Having trouble relaxing,True,True,0,False,GAD-Q4,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614346,1136692,1,0 - Not at all,,,,,False,False,False,,,,,,,1136692,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614346,10,NPB,4. Having trouble relaxing,True,True,0,False,GAD-Q4,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614346,1136693,2,1 - Several Days,,,,,False,False,False,,,,,,,1136693,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614346,10,NPB,4. Having trouble relaxing,True,True,0,False,GAD-Q4,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614346,1136694,3,2 - More than half the days,,,,,False,False,False,,,,,,,1136694,6851
